remedy_name,source_substance,key_symptoms_indicated,potency_common,usage_notes
Arnica Montana,Leopard's Bane (plant),"Bruising, muscle soreness, trauma, shock after injury",30C,"Commonly used for physical trauma and soreness; not for open wounds without guidance."
Belladonna,Deadly Nightshade (plant),"Sudden high fever, throbbing headache, flushed hot face",30C,"Used for sudden-onset intense symptoms; discontinue once fever breaks."
Nux Vomica,Poison Nut (plant seed),"Indigestion, overeating, irritability, hangover-like symptoms",30C,"Often used for digestive upset linked to rich food or stress."
Chamomilla,German Chamomile (plant),"Irritability, teething discomfort in children, oversensitivity to pain",30C,"Frequently used for children who are unusually cranky or inconsolable."
Pulsatilla,Windflower (plant),"Weepy mood, changeable symptoms, worse in warm rooms, better in open air",30C,"Suited to gentle, emotional, easily-discouraged temperaments."
Rhus Toxicodendron,Poison Ivy (plant),"Joint stiffness better with movement, restlessness, worse in cold damp weather",30C,"Commonly used for stiffness that eases as the person keeps moving."
Aconitum Napellus,Monkshood (plant),"Sudden fear or anxiety, early stage of colds/fevers, restlessness",30C,"Best used at the very first sign of sudden symptom onset."
Gelsemium,Yellow Jasmine (plant),"Weakness, drowsiness, dull heavy headache, dread of anticipation",30C,"Often associated with flu-like fatigue and pre-event anxiety."
Bryonia Alba,White Bryony (plant),"Dry cough, worse with any movement, irritability, thirst for large amounts of water",30C,"Suited to symptoms that clearly worsen with motion."
Ignatia Amara,St. Ignatius Bean (plant seed),"Grief, emotional shock, sighing, mood swings",30C,"Traditionally used for acute emotional distress or bereavement."
Allium Cepa,Red Onion (plant),"Watery eyes, runny nose, symptoms resembling hay fever or early cold",30C,"Named for its resemblance to onion-induced eye and nose irritation."
Sulphur,Sulphur (mineral),"Skin itching worse from heat/bathing, burning sensations, untidy tendency",30C,"Often used for chronic skin complaints; consult a homeopath for constitutional use."
Calcarea Carbonica,"Calcium Carbonate (mineral, oyster shell)","Sluggishness, chilliness, slow development in children, anxiety about health",30C,"Considered a constitutional remedy; typically guided by a practitioner."
Natrum Muriaticum,Sodium Chloride (common salt),"Grief held inward, headaches, craving salt, emotional withdrawal",30C,"Associated with suppressed emotion and salt cravings."
Lycopodium,Club Moss (plant spores),"Digestive bloating, lack of confidence, worse in late afternoon",30C,"Often linked to digestive complaints paired with low self-confidence."
Arsenicum Album,Arsenic trioxide (mineral),"Anxiety with restlessness, burning pains better with warmth, food poisoning symptoms",30C,"Traditionally used for acute digestive upset with anxiety and chilliness."
Apis Mellifica,Honeybee (whole insect),"Stinging swelling, puffiness, worse with heat, better with cold application",30C,"Associated with bee-sting-like swelling and puffy skin reactions."
Hepar Sulphuris,Calcium sulphide (mineral),"Sensitive to touch, splinter-like pain, worse in cold air",30C,"Often used for infections that are extremely sensitive to touch or cold."
Silicea,Silica (mineral),"Low stamina, slow healing, sensitive to cold, weak nails and hair",30C,"Considered a constitutional remedy for depleted, slow-to-recover states."
Phosphorus,Phosphorus (mineral),"Craving cold drinks, easily bleeding, sensitive and sympathetic nature",30C,"Used for those who are open, sensitive, and prone to nosebleeds or flushing."
Kali Bichromicum,Potassium dichromate (mineral),"Thick stringy discharge, sinus congestion, pain in small spots",30C,"Associated with thick mucus and sinus-related complaints."
Euphrasia,Eyebright (plant),"Watery eyes with irritation, profuse tearing, hay fever symptoms",30C,"Commonly used for eye irritation and watering associated with allergies."
Cantharis,Spanish Fly (insect),"Burning sensations, urinary discomfort, burns and blisters",30C,"Traditionally used for burning pain, including minor burns."
Ruta Graveolens,Rue (plant),"Tendon and ligament strain, bruised bone-deep pain, overuse injuries",30C,"Often used for sprains and overuse injuries after physical strain."
Symphytum,Comfrey (plant),"Bone injury support, fracture healing aid",30C,"Traditionally associated with supporting recovery after bone injury; use alongside medical care."
Ferrum Phosphoricum,Iron phosphate (mineral),"Early stage fever, mild inflammation, low-grade infections",30C,"Used for early, mild fever states before more specific symptoms appear."
Cocculus Indicus,Indian Cockle (plant seed),"Motion sickness, nausea, dizziness from lack of sleep",30C,"Commonly associated with travel sickness and fatigue-related dizziness."
Antimonium Crudum,Antimony sulphide (mineral),"Digestive upset from overeating, thick white-coated tongue, irritability",30C,"Used for digestive complaints linked to overindulgence."
Sepia,Cuttlefish ink (animal),"Emotional exhaustion, hormonal complaints, indifference and low motivation",30C,"Considered a constitutional remedy, often associated with fatigue and hormonal shifts."
Carbo Vegetabilis,Vegetable charcoal (plant-derived),"Bloating, sluggish circulation, feeling of exhaustion after illness",30C,"Sometimes referred to as a remedy for low vitality and digestive sluggishness."
